49, Craft-repair, Private,40,7298, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
28, Prof-specialty, Local-gov,40,7298, Masters,14, Married-civ-spouse, Wife, White, Female, United-States, >50K
31, Handlers-cleaners, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
21, Craft-repair, Private,40,0, HS-grad,9, Never-married, Own-child, Black, Male, United-States, <=50K
22, Adm-clerical, Private,20,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
42, Exec-managerial, Self-emp-not-inc,48,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
53, Craft-repair, Private,40,0, 10th,6, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
53, Sales, Self-emp-not-inc,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, Canada, >50K
60, Adm-clerical, Private,37,0, HS-grad,9, Divorced, Unmarried, White, Female, United-States, <=50K
19, Sales, Self-emp-not-inc,16,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
63, Other-service, Private,40,0, Some-college,10, Divorced, Not-in-family, White, Male, United-States, <=50K
49, Exec-managerial, Private,60,27828, Bachelors,13, Divorced, Not-in-family, Black, Female, United-States, >50K
27, Other-service, Federal-gov,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
19, Sales, Private,30,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
40, Transport-moving, Private,40,0, Some-college,10, Divorced, Not-in-family, Black, Female, United-States, <=50K
41, Exec-managerial, Private,60,-1902, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
19, Exec-managerial, Private,30,0, Some-college,10, Never-married, Own-child, Black, Male, United-States, <=50K
28, Adm-clerical, Private,40,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
45, Craft-repair, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
30, Adm-clerical, State-gov,40,-1902, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
