,Income_>50k
4133,0
6404,0
12901,0
12949,0
5488,0
6812,0
18791,0
21247,0
219,1
190,0
5319,0
21234,0
12357,0
4210,1
24538,0
20679,0
703,0
17304,0
22073,1
5692,1
9758,0
13942,0
10555,1
26374,1
26088,0
25633,0
16782,0
18765,0
13659,0
7757,0
16403,0
2862,1
15912,0
23712,0
10706,0
17741,0
5876,0
24717,0
11796,1
21320,0
19380,0
9474,0
23763,0
18563,1
5434,1
17144,1
26481,0
4053,1
4509,0
21635,1
10117,1
1616,0
2646,1
22688,1
19311,0
20399,0
15029,0
15397,0
25527,0
22661,0
15579,0
7675,0
1038,0
2665,0
18699,0
9753,1
18042,0
10748,0
742,1
21580,1
26013,0
2805,0
20643,0
20150,0
15213,1
19687,0
22918,0
2305,0
6961,1
3661,0
15259,0
7469,0
854,0
2838,0
18482,0
23905,0
25152,0
11782,0
6120,0
18755,0
13441,0
18967,1
21792,0
6920,0
12729,0
778,0
26314,1
18426,1
611,0
3507,0
16515,0
2584,0
25990,1
14255,0
8255,0
24376,0
2820,0
12467,1
18118,1
19201,1
13021,0
24453,1
10501,0
20160,1
15465,1
3458,0
11631,0
18124,0
24567,0
25958,0
18061,1
11628,0
22040,0
9985,0
18537,1
4898,0
19870,0
22367,0
3103,1
1921,0
831,0
16095,0
5296,0
9502,1
4101,1
22797,1
22769,0
8902,0
18445,0
295,0
7114,0
2054,1
15541,0
17428,1
11900,1
23220,0
14774,0
12343,0
4707,0
3527,1
16373,1
21043,0
10716,1
21238,0
26159,0
14909,1
13939,0
22340,0
21638,0
15400,0
20147,0
9234,0
23965,1
9607,0
15740,1
16882,0
23701,0
5392,0
21666,0
13119,0
10961,1
12378,0
18280,0
22293,0
9812,0
13828,0
26504,0
6511,0
14584,1
7877,1
22541,0
681,0
19079,0
16302,0
10753,0
21675,0
12252,1
6306,0
2615,0
11936,1
21361,0
3967,0
6965,0
14453,0
2706,0
3702,0
828,0
24768,0
11494,0
17273,0
21421,0
6242,1
14079,0
20692,1
7517,0
5884,0
24926,0
5286,0
16477,0
5300,1
8702,1
15152,0
9992,0
3280,0
22701,0
6023,0
23201,1
10190,0
17859,0
19460,0
1276,1
7263,0
328,0
1677,0
23146,0
25872,0
26379,0
9004,0
16692,1
9525,1
2491,0
16494,0
15977,1
13107,0
16014,0
9259,0
6247,0
10145,0
17709,0
1441,0
15723,1
16981,1
22280,0
13433,0
11611,0
5493,0
6464,1
4452,0
9111,0
1040,0
7849,0
3202,0
4298,0
15015,0
4744,0
21069,0
19270,1
8360,0
18008,0
1834,0
14747,0
15743,0
26494,0
18963,0
521,0
14057,0
14467,0
8482,0
19181,1
20468,0
12500,0
22014,0
18353,0
24354,0
23610,1
25404,0
6923,0
3262,0
5401,0
1529,1
21104,0
15862,0
19156,0
16758,1
19605,1
18176,0
2659,0
10596,0
22372,0
26398,0
17242,0
5856,0
20605,1
14320,0
14582,0
25852,0
1089,0
4422,0
9759,0
4617,1
7683,1
4047,0
18496,0
17427,0
4809,1
12002,0
23842,1
4150,0
24786,1
8163,0
7962,0
25185,1
5476,0
19518,0
17911,0
16119,0
25158,0
5635,1
6239,1
17991,0
20652,0
5453,0
23500,0
16233,0
23293,0
15803,0
660,0
19158,0
21474,1
21379,0
11471,0
15601,0
15555,0
7227,0
6530,0
15861,1
10808,0
6295,0
1504,0
23833,0
22302,1
11488,0
1920,0
13880,1
19038,1
11250,1
23111,0
20681,0
11369,1
5278,1
23170,0
13015,0
12260,0
18668,0
53,1
10560,1
1084,0
8571,1
11673,0
22882,0
5175,1
20149,1
12830,0
3069,0
5391,0
6514,0
10181,0
10132,0
460,0
6623,0
26287,0
18943,1
17489,0
23135,0
12692,0
16674,0
21577,0
4334,0
15432,0
19501,0
20375,1
24544,0
2931,0
21834,0
11474,1
5150,0
8694,0
21762,0
25022,0
1913,1
21555,0
17595,0
23112,0
15052,1
654,0
3813,0
15395,1
24359,0
24182,1
16951,0
11195,1
19871,1
20435,1
18677,0
19097,0
21756,1
2263,0
12625,1
10712,0
14260,1
7085,0
8348,0
20431,0
14597,0
21456,0
1948,1
14066,0
17377,0
3775,0
12968,0
5091,0
20392,0
26063,0
2312,1
6245,0
23878,1
15916,0
26089,0
19774,0
17216,0
10100,1
11393,0
1596,0
5600,1
1232,0
3616,0
7416,0
2440,0
14485,0
8650,0
15934,1
22533,0
13065,0
8342,1
1689,0
9874,1
10981,0
17545,0
15991,0
18654,0
11863,1
4785,0
8782,0
19970,1
3850,0
19619,0
11477,0
10869,0
21953,0
11177,1
12652,0
22184,0
18293,0
19034,0
24575,1
17998,0
16450,0
6003,1
8490,0
4724,0
5372,0
11534,0
13002,0
26424,0
5240,0
11182,0
24126,0
9022,1
20462,1
11412,0
11616,1
2755,0
22643,0
15370,0
11569,0
21979,0
23829,1
6380,0
17958,0
25791,0
15235,0
104,1
22256,0
10121,0
15909,1
8151,0
23419,0
2243,0
6826,0
3582,0
24975,0
20545,0
15879,1
13733,0
20577,0
4301,0
20955,0
377,0
10696,0
8799,0
14149,0
19344,0
20494,0
10393,0
10782,0
6791,0
1370,0
26215,0
15759,0
21716,0
19523,0
372,0
3793,0
19668,0
1802,0
6975,0
19180,0
7042,1
7224,0
3423,0
3991,0
8470,0
2768,0
24413,0
17861,1
19424,0
18570,0
17999,0
19062,0
1922,0
3633,0
22923,0
20242,0
16409,0
1236,0
26075,0
8922,0
12430,1
8428,0
23239,0
21883,1
9951,0
2986,0
25506,1
6480,0
21458,1
7223,0
16932,0
4413,0
883,0
18262,0
15070,1
12737,0
4570,1
6941,0
15135,0
17917,0
1501,0
6460,1
4110,0
954,0
26237,0
6398,1
5546,0
26276,1
13945,0
21039,0
23850,0
23113,1
19395,1
9366,0
9523,0
1740,0
25205,0
10651,0
215,0
2385,0
15959,0
245,0
14684,1
8436,0
350,0
18754,0
25882,0
145,0
10795,0
4825,1
9399,1
8603,0
25700,0
8042,1
23150,0
21853,0
25646,0
8177,0
13164,1
8353,0
10860,1
2333,0
18560,1
9845,1
22905,0
15666,0
10180,0
25793,0
10451,1
10878,0
11617,1
711,0
23309,1
18352,0
1709,1
26150,0
21915,1
16187,0
23000,0
18020,0
1658,0
3493,0
3122,0
18751,0
25187,0
2325,0
6117,0
267,0
16715,0
11086,0
5832,0
16329,0
11489,0
13076,0
18695,0
10141,0
25338,0
25176,1
17780,1
14132,0
20299,0
11920,0
14998,0
19131,1
24653,1
21268,1
15502,1
25610,0
6010,0
18876,0
10840,0
15964,0
21885,0
19787,1
6386,1
24305,0
18556,0
25263,1
2898,1
10130,0
16472,0
16869,0
22299,0
26006,0
514,1
5350,0
20809,0
23514,0
20212,0
3038,1
26020,0
18483,0
16701,0
9160,0
26007,1
18412,0
15003,0
15265,1
16062,0
12132,1
7029,0
6525,0
10955,0
19800,0
19456,0
17233,0
12550,0
8794,1
22026,0
12885,0
13402,0
19818,1
22343,0
4905,0
15051,1
19693,0
421,0
18038,0
13124,0
10144,0
26009,0
6140,0
16390,0
20066,1
23834,1
6195,0
26128,0
16305,0
19332,1
10273,0
2001,0
18108,0
9806,0
9835,1
17430,0
8662,0
25864,0
1474,0
26293,0
4270,0
978,0
6066,0
8950,0
2744,1
11371,1
21327,0
12890,0
6877,1
9949,1
24014,0
26451,0
5645,0
18854,0
19256,0
1722,0
3882,0
9932,0
24288,0
9192,0
10047,1
10584,0
25967,0
13550,0
20059,0
15196,0
2699,0
6531,0
16718,0
10524,1
4704,1
24135,0
7098,0
15612,0
21437,1
3719,0
8235,0
11003,0
5233,1
10854,1
6012,1
12675,0
21965,0
23245,1
10521,0
16217,0
19525,1
4723,0
3890,0
5454,1
2473,0
10072,0
7845,0
14508,0
491,0
25293,0
836,0
25690,0
10390,0
12681,0
9356,1
15031,1
20047,0
11530,0
20688,0
6678,0
5386,0
5734,0
184,0
8142,0
3041,1
18264,0
24865,0
22937,0
369,0
19588,0
12259,0
3269,0
17172,1
10592,1
21636,0
22616,0
9626,1
15399,0
21874,1
13821,0
16372,0
20102,0
23286,1
8505,0
10372,0
21178,0
8917,0
11542,0
16330,0
1125,1
19622,0
11184,0
9880,0
18961,0
24302,0
11903,0
7194,0
21861,0
15180,0
22545,0
20309,0
15970,1
10927,0
5948,0
17631,0
10574,0
4385,0
14535,1
3701,0
3563,0
4765,0
17769,0
4405,0
8474,0
5017,1
20563,1
13027,0
5907,0
3365,0
19369,0
579,1
23621,0
24592,0
19356,1
6036,1
24461,1
24618,1
4131,0
4451,0
4497,0
1250,0
1294,1
16841,0
5307,0
5606,0
1387,1
872,0
14113,0
13597,0
11084,1
24970,0
2284,0
11834,1
8168,0
24748,0
6299,0
4387,1
1109,1
3532,0
8270,0
22145,1
12332,1
11981,0
26315,0
16256,0
9703,1
14603,0
19120,0
4915,0
16090,0
10757,0
8641,0
18527,0
19183,0
26090,0
2622,0
3550,0
22980,1
13704,0
23724,0
9087,0
16678,0
5764,0
20213,0
7718,1
5099,0
12561,0
6462,0
17177,1
10809,0
26376,0
17594,0
2739,1
6146,0
13602,0
12048,0
25748,0
345,0
12093,1
18481,0
13269,0
21862,0
20261,0
9225,0
23968,0
5797,1
7389,0
12643,0
14850,0
18467,1
21796,1
13300,0
2596,0
3139,0
17390,1
11553,0
21665,0
4668,0
6885,0
21545,0
24793,0
9638,0
178,0
7936,0
3952,0
16264,0
12141,0
24265,0
7009,0
23985,0
22197,0
5802,0
2475,0
10702,0
13555,1
13116,0
3946,1
18237,0
7536,0
8550,1
4170,0
16179,0
16540,0
8518,1
4938,0
4608,1
9188,1
10416,0
14229,0
16608,0
14836,0
1260,0
555,0
7135,0
15615,1
20320,0
16220,0
23393,0
6154,0
1350,0
10824,0
21676,0
25220,0
7382,1
21313,0
17081,0
15374,1
625,0
20498,0
23326,0
2519,1
21426,1
18785,0
5163,0
15345,0
10992,1
13437,0
25454,0
8692,0
6116,0
17309,0
6432,1
8889,0
3138,0
5633,0
15207,0
8003,0
3666,0
4713,0
850,0
4603,0
1515,0
20618,0
21721,1
13835,0
23068,0
13103,1
20610,0
15542,0
21209,0
16939,0
10471,0
26154,1
23033,0
6228,0
10005,0
8598,0
16458,1
1984,0
8376,0
8323,0
15298,0
7621,0
12922,0
19266,0
6835,0
14327,0
14199,1
20546,1
2528,1
11141,0
691,0
25655,0
6760,0
24378,1
22435,0
4634,0
17497,0
1314,0
4563,0
24426,1
8592,0
25346,0
417,0
23792,0
14563,1
19243,0
19293,0
10210,0
19996,0
7613,1
5927,1
21063,0
6046,0
3723,0
10850,0
18933,0
20812,1
2865,0
15679,0
17521,0
24779,0
12906,0
284,0
20873,0
14697,0
2879,0
1203,0
12176,1
14687,0
16655,0
17522,0
11808,0
50,0
5910,1
12476,0
3209,0
1698,0
7732,0
12171,0
26042,0
8284,0
22485,0
23275,0
24424,1
21969,0
13232,1
9764,0
8547,0
8582,0
3955,0
17351,1
8079,0
7309,0
6162,0
24372,0
3540,0
22619,1
724,1
1033,0
10046,0
2249,0
14471,0
5733,0
10240,0
12302,0
22759,0
68,0
17413,0
5689,0
2015,1
12721,1
6758,0
26134,0
348,0
10735,1
18246,0
9108,0
16950,1
17032,1
6957,0
13272,0
9869,0
8308,0
7190,0
11479,0
16883,0
5424,0
1211,0
11200,0
10154,0
6433,0
23322,1
21000,0
18832,0
2388,0
14001,0
14070,0
11773,0
3450,0
10691,0
18807,0
9041,1
17541,0
1385,0
20918,0
21865,0
2841,0
13569,1
20428,0
15064,1
10703,0
6118,0
7788,0
8905,0
16523,0
6819,0
23811,0
2696,1
17647,0
7111,0
22686,0
26227,0
1074,0
232,0
24334,0
20247,0
15157,1
22567,0
23857,0
25402,0
23189,1
23091,1
24450,0
9385,0
16549,0
7024,0
4029,0
10269,0
19969,0
24745,1
7987,0
20182,1
15348,1
12769,0
6695,1
15782,1
18661,0
2123,1
14293,0
22160,0
6822,0
325,0
12202,0
25410,1
10595,0
26366,0
10949,0
4524,0
1397,0
10828,1
24585,0
4448,1
2421,1
23625,0
6456,0
9410,0
25643,1
22806,0
15197,0
18979,0
2908,1
2746,1
1464,0
9407,0
3559,0
20284,1
6471,0
18721,1
101,0
12429,0
24800,0
18310,0
21581,0
10725,0
2987,0
4072,0
19802,1
5914,1
7284,0
4625,0
5316,1
16418,0
15071,0
19856,0
6647,0
19762,0
11609,0
15628,1
9229,0
5464,0
15096,0
6861,0
20721,1
6061,1
3517,0
905,1
5681,0
13203,0
1963,0
25316,0
25533,0
25779,0
22396,0
3712,0
12674,0
19497,0
6482,0
18976,1
15895,0
22982,1
10237,0
18111,0
2277,1
19290,1
16242,0
6256,0
1252,0
24075,0
24858,0
25302,0
19835,0
6979,1
14759,1
14040,0
11415,0
12243,0
14739,1
20556,1
24527,0
11155,1
19656,0
25562,1
26503,0
26438,0
11427,0
12683,0
15373,0
23132,1
16606,1
23078,0
4890,1
1632,0
838,0
3243,0
11107,0
15877,0
7952,0
5162,1
12689,0
7252,1
9313,0
7196,1
6526,1
2702,0
1590,0
15882,1
23525,0
8462,1
10431,1
6375,0
12277,0
14904,0
4380,0
6267,0
8985,1
22289,0
15515,0
19538,0
15008,0
8084,0
26518,0
13664,0
16349,0
12612,0
14901,0
3101,0
13289,0
11192,1
10035,1
21870,1
8942,1
8622,1
12626,0
22714,0
1130,0
23174,1
247,0
12158,1
24847,0
3541,1
16443,0
11289,0
5756,0
4088,0
6401,0
13480,0
10836,0
845,0
3398,1
13745,0
21240,0
23585,0
16683,0
211,0
5564,1
14800,0
24494,0
18418,0
3586,0
13271,0
8865,0
22031,1
1719,0
9725,0
19599,0
7139,0
23744,0
1481,1
5877,1
1734,0
16935,1
8833,0
22413,1
12291,0
13521,0
6713,0
17665,0
5898,1
3798,0
10378,1
4639,0
12254,0
15853,0
13736,1
9021,0
21516,0
8849,0
18466,0
12624,1
2488,1
14997,1
1977,0
16466,0
22609,1
17761,0
10226,1
7876,0
6424,1
13323,0
15616,0
10648,0
7765,1
15411,0
19295,0
11487,0
13514,0
12941,0
9641,0
13806,0
12119,0
3441,0
19078,0
8687,0
5995,0
26467,0
23930,0
6032,0
1770,0
6037,0
223,1
4553,0
5883,1
4404,0
25241,0
17628,1
21648,0
17734,0
13518,0
2427,0
17187,0
8115,0
18523,0
7789,0
13053,0
236,0
25207,0
2732,0
21943,0
19881,0
12515,0
9509,0
19921,0
15928,0
19529,0
25184,0
9467,0
17282,0
4341,0
24844,0
12194,0
4108,1
270,0
24792,0
5035,0
16246,1
24128,0
12884,0
15960,1
20478,0
11292,1
16294,0
8272,0
21550,0
6294,0
16584,0
9569,0
8316,0
6376,0
20219,0
7657,1
9357,0
6902,1
2840,0
13655,0
8809,1
13706,0
6159,0
10203,0
955,0
17211,0
8806,0
24,0
8046,0
17415,1
16519,1
4364,0
6580,0
17531,0
18991,0
5354,0
23933,0
8421,0
23702,0
8080,0
6785,0
3658,1
23559,0
19179,0
3644,0
16270,0
3160,0
24220,0
16588,0
21036,0
16760,0
12540,0
923,0
22559,1
9922,1
16441,0
21998,0
14054,0
246,1
18945,0
23032,0
19933,0
18288,0
18317,0
17339,0
4408,0
10883,0
18424,0
8330,0
16982,1
25761,0
19703,0
21674,0
15244,1
1880,1
16064,1
22304,1
17509,0
22370,0
6391,0
18068,1
24981,1
20648,0
12722,0
3564,0
139,0
19269,0
13154,0
23620,0
4762,0
23391,0
23296,0
10341,0
1935,0
22177,0
20074,0
23214,1
26333,0
14596,1
678,1
15577,0
9829,0
9177,0
18183,0
9828,0
21338,0
21745,0
5812,0
1249,0
7970,0
4294,0
24746,1
16038,0
11458,0
8844,0
21236,1
5819,1
14427,0
4854,1
11974,1
1121,0
21332,1
18718,0
25323,0
1492,1
20170,0
16756,0
9987,0
9383,0
23379,0
23632,0
25252,1
1595,0
22267,0
13426,0
20516,1
9046,0
5710,0
21250,0
271,1
16653,0
14232,1
2834,0
12679,1
18761,0
10445,0
3635,1
4568,1
23560,0
8331,0
22529,0
14393,1
22662,1
10810,0
19407,0
20099,0
10500,0
23828,0
16101,0
10428,0
7392,1
5820,1
16468,0
16367,0
13248,0
12564,1
25684,0
10796,0
5969,1
16602,0
22607,0
18642,0
3159,1
4049,1
1006,0
11187,0
1995,1
17813,0
2900,0
2943,0
5092,0
3861,0
18017,0
19496,0
8212,0
21146,0
493,1
17307,1
10368,0
23924,1
3354,1
7365,0
16462,0
23357,1
25146,0
791,0
21214,1
7051,0
1521,0
23618,0
17356,0
3999,0
2930,0
4831,0
17972,1
9793,1
16910,0
2189,0
5770,0
6972,0
9877,1
24708,1
3553,0
888,1
12771,0
15660,1
7086,0
13093,0
18012,0
15506,0
11709,0
7602,0
2738,0
5988,0
18239,0
9215,0
6872,0
10973,0
9099,0
18905,0
15285,0
18957,0
25130,0
7136,0
7288,0
26045,0
21155,1
4747,0
24998,0
469,0
1583,0
17877,0
22364,0
6893,1
7741,0
14968,0
8657,0
12385,0
4239,0
17461,0
15932,0
24823,0
5410,1
276,1
25234,0
5881,1
24102,0
14735,0
19,0
5440,1
21751,0
23944,1
7568,1
20220,0
23939,0
23630,0
5310,1
16286,1
11414,0
2450,0
11880,0
14479,1
11374,0
20159,0
9085,0
24861,0
9079,0
4346,0
25419,0
18752,0
2143,1
6470,0
21042,1
1866,0
15387,0
990,0
20058,0
25149,0
25926,0
9235,0
1518,1
20796,0
8132,0
11826,0
7859,0
19951,1
21305,0
16601,0
19990,0
19057,0
17303,0
19234,0
5838,0
16857,0
19130,0
12400,0
26070,0
4544,0
11876,0
14060,0
808,0
25797,0
12230,0
10448,0
7608,0
12905,0
7961,1
18136,0
3867,1
9867,0
3429,0
10690,0
16940,0
14926,0
10197,0
12081,0
13246,0
21374,0
21166,1
